試	试	shì	offer, attempt, essay, flesh, try, seek, assay, test
是不是	是不是	shì bù shì	is or isn't, yes or no, whether or not
手	手	shǒu	hand
書包	书包	shūbāo	bag, book bag, satchel, schoolbag
書店	书店	shūdiàn	bookstore
樹	树	shù	wood, Ruptiliocarpon caracolito, tree, arbor, Surname, caracolito
睡	睡	shuì	sleep
聽到	听到	tīngdào	hear
聽見	听见	tīngjiàn	hear
聽寫	听写	tīng xiě	dictate, dictation, CL:次[ci4]
圖書館	图书馆	túshūguǎn	library
外邊	外边	wài bian	outside, outer surface, abroad, place other than one's home
外國	外国	wàiguó	foreign, foreign country, outland, outremer
玩兒	玩儿	wánr	to play, to have fun, to hang out
晚	晚	wǎn	far on in time, late
晚飯	晚饭	wǎn fàn	evening meal, dinner, supper, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]
網上	网上	wǎng shàng	online
網友	网友	wǎng yoǔ	online friend, Internet user
外語	外语	wàiyǔ	foreign language
忘記	忘记	wàngjì	misremember, block, blank out, neglect, overlook, draw a blank, leave_out, disremember, fail, forget
忘	忘	wàng	forget, overlook, neglect
午飯	午饭	wǔ fàn	lunch, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]
西邊	西边	xī biān	west, west side, western part, to the west of
洗手間	洗手间	xǐ shoǔ jiān	toilet, lavatory, washroom
下班	下班	xiàbān	get_off
下邊	下边	xià bian	under, the underside, below
下車	下车	xiàchē	get off/out of vehicle
下次	下次	xià cì	next time
下課	下课	xiàkè	finish class, get out of class
先	先	xiān	earlier, in advance, before
小孩兒	小孩儿	xiǎoháir	child, erhua variant of 小孩[xiao3 hai2]
小朋友	小朋友	xiǎopéngyǒu	child (adult address to child), little boy, children, little boy/girl, girl, little girl, little boy or girl, child
小學	小学	xiǎoxué	primary school, elementary school
小學生	小学生	xiǎoxuéshēng	(primary) pupil, schoolboy, schoolgirl
新年	新年	xīn nián	New Year, CL:個|个[ge4]
星期日	星期日	Xīng qī rì	Sunday, CL:個|个[ge4]
星期天	星期天	Xīng qī tiān	Sunday, CL:個|个[ge4]
行	行	xíng	go, travel, prevail, circulate, be current
學	学	xué	study, learn, imitate, mimic
學院	学院	xuéyuàn	seminary, college, school, hall, institute, academy, faculty
爺爺	爷爷	yéyé	grandad, Grandpa, granddad, grandpa, (paternal) grandfather, gramps, granddaddy, grandfather
頁	页	yè	page, leaf, m.[general], ,sheet of paper, sheet, piece, piece of paper, folio
一會兒	一会儿	yīhuìr	a moment, a while, in a moment, now...now..., also pr. [yi1 hui3 r5]
一塊兒	一块儿	yīkuàiēr	together
一下兒	一下儿	yīxià r	(used after a verb) give it a go, to do (sth for a bit to give it a try), one time, once, in a while, all of a sudden, all at once, erhua variant of 一下[yi1 xia4]
一半	一半	yíbàn	det.: one half, in part, half
一邊	一边	yībiān	at the same time, simultaneously;on the one/other hand
一點兒	一点儿	yīdiǎnēr	det.: a little bit
一些	一些	yīxiē	det.: some, a few, a little
一樣	一样	yīyàng	same, equal, similar
有的	有的	yǒude	det : some
有名	有名	yǒumíng	well-known, famous
用	用	yòng	with
有時候	有时候	yǒushíhòu	from time to time, on_occasion, occasionally, somewhile, otherwhile, now and again, sometimes, now and then, at times, on occasion, whiles, once in a while
有些	有些	yǒuxiē	kind_of, rather, somewhat
有用	有用	yǒuyòng	belong, profit, count, useful, avail, powerful
右	右	yòu	right side as side of precedence, right side, west, winger, right, the right side, the Right, the right
在傢	在家	zàijiā	At home
早	早	zǎo	early, long ago, in advance, beforehand, prematurely
早飯	早饭	zǎo fàn	breakfast, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]
站	站	zhàn	to stand
找到	找到	zhǎodào	light upon, find, discover, run_down, founded, regain, strike, come upon, come across, run down, trace, turn_up, happen upon, get, chance on, chance upon
這邊	这边	zhèbiān	this side, here
這裡	这里	zhèlǐ	this place, there, here
這兒	这儿	zhèēr	now, here
這些	这些	zhèxiē	det.: these
真的	真的	zhēnde	really, truly, indeed
正	正	zhèng	precisely, punctually
知識	知识	zhīshì	lear, know-how, understanding, ken, instruction, science, sophistication, consciousness, light, awareness, cognizance, knowledge, lore, mastery, know, cognition, acquaintanceship, mind, intellect, knowingness, equipment
中間	中间	zhōngjiān	center, middle
中文	中文	zhōngwén	Chinese, Ch. (written) language, Ch. language, Sinitic
中學	中学	zhōngxué	middle_school, grammar_school, secondary school, Ch. learning, middle school, high_school, grammar school
中學生	中学生	zhōng xué shēng	middle-school student, high school student
重	重	zhòng	heavy, weighty, important, considerable in amount/value
重要	重要	zhòngyào	important, significant, major
子	子	zǐ	son, child, seed, egg, small thing, 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat, Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], ancient Chinese compass point: 0° (north), (noun suffix)
走路	走路	zǒulù	go away, stroam, go on foot, walk
最好	最好	zuìhǎo	had better, it would be best
最後	最后	zuì hoù	final, last, finally, ultimate
左	左	zuǒ	left side, east, the Left
坐下	坐下	zuòxià	subside, sit, sit down, sink, sit_down
